device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
fan,on,<device_name> status now,The <device_name> is on,Trạng thái Placeholder_0 ngay bây giờ,Người giữ chỗ_0 đang ở
fan,off,Current state of <device_name>,The <device_name> is off,Trạng thái hiện tại của người giữ chỗ_0,Người giữ chỗ_0 đã tắt
light,on,Is <device_name> working,The <device_name> is on,Placeholder_0 đang hoạt động,Người giữ chỗ_0 đang ở
light,off,Update on <device_name>,The <device_name> is off,Cập nhật trên Placeholder_0,Người giữ chỗ_0 đã tắt
fan,on,How's the <device_name>,The <device_name> is on,Người giữ chỗ như thế nào_0,Người giữ chỗ_0 đang ở
fan,off,Status of <device_name>,The <device_name> is off,Trạng thái của Placeholder_0,Người giữ chỗ_0 đã tắt
light,on,<device_name> condition,The <device_name> is on,Điều kiện của Placeholder_0,Người giữ chỗ_0 đang ở
light,off,What's up with <device_name>,The <device_name> is off,Có gì với trình giữ chỗ_0,Người giữ chỗ_0 đã tắt
media_player,on;<volume>,What's the volume on <device_name>?,The volume on <device_name> is at <volume>.,Khối lượng trên Placeholder_0 là bao nhiêu?,Khối lượng trên Placeholder_0 là ở Placeholder_1.
media_player,off,Can you check the volume level of <device_name>?,"<device_name> is off, so I can't check the volume level currently.",Bạn có thể kiểm tra mức âm lượng của Placeholder_0 không?,"Placeholder_0 đã tắt, vì vậy tôi không thể kiểm tra mức âm lượng hiện tại."
media_player,idle,"I need the current volume of <device_name>, please.",The current volume of <device_name> is <volume>.,Tôi cần khối lượng hiện tại của Placeholder_0.,Khối lượng hiện tại của Placeholder_0 là Placeholder_1.
media_player,playing,Is the volume too loud on <device_name>?,The volume on <device_name> is currently set to <volume>.,Có phải âm lượng quá lớn trên Placeholder_0?,Khối lượng trên Placeholder_0 hiện đang được đặt thành Placeholder_1.
media_player,paused,What was the volume set to before <device_name> was paused?,"Before being paused, <device_name> had a volume level of <volume>.",Khối lượng được đặt thành trước khi đặt chỗ_0 được tạm dừng?,"Trước khi bị tạm dừng, Placeholder_0 đã có mức khối lượng của trình giữ chỗ_1."
media_player,playing,Could you increase <device_name>'s volume a bit?,I've increased the volume on <device_name>. It's now at <volume>.,Bạn có thể tăng khối lượng của Placeholder_0 lên một chút không?,Tôi đã tăng khối lượng trên Placeholder_0. Bây giờ là ở Placeholder_1.
media_player,playing,Is the volume muted on <device_name>?,The volume on <device_name> is not muted. It's at <volume>.,Âm lượng có bị tắt trên Placeholder_0 không?,Khối lượng trên Placeholder_0 không bị tắt tiếng. Đó là tại Placeholder_1.
media_player,on,What's playing on <device_name> right now?,<media> is currently playing on <device_name>.,Điều gì đang chơi trên Placeholder_0 ngay bây giờ?,Placeholder_0 hiện đang chơi trên Placeholder_1.
media_player,off,Is there anything playing on <device_name>?,Nothing is playing on <device_name> as it is currently off.,Có gì chơi trên Placeholder_0 không?,Không có gì đang chơi trên Placeholder_0 vì nó hiện đang tắt.
media_player,idle,Can you tell me what was last played on <device_name>?,The last media played on <device_name> was <media>.,Bạn có thể cho tôi biết những gì được chơi cuối cùng trên Placeholder_0?,Các phương tiện truyền thông cuối cùng được phát trên Placeholder_0 là Placeholder_1.
media_player,playing,What is playing on <device_name> at the moment?,The song <media> is playing on <device_name> right now.,Điều gì đang chơi trên Placeholder_0 vào lúc này?,Bài hát Placeholder_0 đang phát trên Placeholder_1 ngay bây giờ.
media_player,paused,What media was paused on <device_name>?,<media> was paused on <device_name>.,Những phương tiện truyền thông nào đã được tạm dừng trên Placeholder_0?,Placeholder_0 đã bị tạm dừng trên Placeholder_1.
media_player,on,"I hear something from <device_name>, what is it?",<device_name> is not currently playing anything.,"Tôi nghe thấy một cái gì đó từ Placeholder_0, nó là gì?",Placeholder_0 hiện không chơi bất cứ điều gì.
media_player,playing,"I like this track on <device_name>, what is it?",You're listening to <media> on <device_name>.,"Tôi thích bài hát này trên Placeholder_0, nó là gì?",Bạn đang nghe Placeholder_0 trên Placeholder_1.
media_player,paused,Can you name the movie that's on <device_name>?,The movie currently paused on <device_name> is <media>.,Bạn có thể đặt tên cho bộ phim trên Placeholder_0 không?,Bộ phim hiện đang tạm dừng trên Placeholder_0 là Placeholder_1.
media_player,standby,What was the last show watched on <device_name>?,The last show watched on <device_name> was <media>.,Chương trình cuối cùng được xem trên Placeholder_0 là gì?,Chương trình cuối cùng được xem trên Placeholder_0 là Placeholder_1.
media_player,buffering,Which episode is on <device_name> right now?,The episode on <device_name> is <media>.,Tập nào trên Placeholder_0 ngay bây giờ?,Tập trên Placeholder_0 là Placeholder_1.
light,on;<color>;<brightness>,What's the brightness of <device_name>?,The brightness of <device_name> is currently at <brightness>.,Độ sáng của trình giữ chỗ_0 là bao nhiêu?,Độ sáng của Placeholder_0 hiện đang ở Placeholder_1.
light,on;<color>;<brightness>,Can you tell me the color of <device_name>?,<device_name> is currently showing <color>.,Bạn có thể cho tôi biết màu của Placeholder_0?,Placeholder_0 hiện đang hiển thị Placeholder_1.
light,on;<color>;<brightness>,Is <device_name> set to a bright or dim setting?,<device_name> is set to a <brightness> brightness level.,Placeholder_0 là cài đặt sáng hay mờ?,Placeholder_0 được đặt thành một mức độ sáng Placeholder_1.
light,on;<color>;<brightness>,What hue is <device_name> displaying?,<device_name> is displaying a <color> hue.,Huế nào là Placeholder_0 hiển thị?,Placeholder_0 đang hiển thị một người giữ chỗ_1 Huế.
light,on;<color>;<brightness>,How bright is <device_name> right now?,<device_name> is currently at <brightness>% brightness.,Làm thế nào sáng là logerholder_0 ngay bây giờ?,Placeholder_0 hiện đang ở độ sáng Placeholder_1%.
light,on;<color>;<brightness>,I'd like to know the current color of <device_name>.,The current color of <device_name> is <color>.,Tôi muốn biết màu sắc hiện tại của Placeholder_0.,Màu hiện tại của Placeholder_0 là Placeholder_1.
light,on;<color>;<brightness>,Is <device_name> more on the dim side or the bright side?,<device_name> is more on the <brightness> side.,Placeholder_0 có nhiều hơn ở mặt mờ hay mặt sáng không?,Placeholder_0 là nhiều hơn ở phía Placeholder_1.
light,on;<color>;<brightness>,What color setting is <device_name> on?,<device_name> is set to <color> color setting.,Cài đặt màu nào là Placeholder_0 trên?,Placeholder_0 được đặt thành cài đặt màu Placeholder_1.
light,on;<color>;<brightness>,Could you check the brightness level of <device_name> for me?,"Sure, the brightness level of <device_name> is <brightness>.",Bạn có thể kiểm tra mức độ sáng của trình giữ chỗ_0 cho tôi không?,"Chắc chắn, mức độ sáng của trình giữ chỗ_0 là người giữ chỗ_1."
light,on;<color>;<brightness>,"Tell me, what's the current hue of <device_name>?",The current hue of <device_name> is <color>.,"Nói cho tôi biết, màu sắc hiện tại của Placeholder_0 là gì?",Hue hiện tại của Placeholder_0 là người giữ chỗ_1.
light,off,What's the brightness of <device_name>?,The device <device_name> is turned off.,Độ sáng của trình giữ chỗ_0 là bao nhiêu?,Thiết bị đặt chỗ_0 bị tắt.
light,off,Can you tell me the color of <device_name>?,<device_name> is turned off.,Bạn có thể cho tôi biết màu của Placeholder_0?,Placeholder_0 bị tắt.
light,off,Is <device_name> set to a bright or dim setting?,"No, <device_name> is turned off.",Placeholder_0 là cài đặt sáng hay mờ?,"Không, Placeholder_0 bị tắt."
light,off,What hue is <device_name> displaying?,<device_name> is actually turned off.,Huế nào là Placeholder_0 hiển thị?,Placeholder_0 thực sự bị tắt.
light,off,How bright is <device_name> right now?,<device_name> is turned off.,Làm thế nào sáng là logerholder_0 ngay bây giờ?,Placeholder_0 bị tắt.
media_player,playing;<media>;<volume>,What's currently playing on <device_name>?,<device_name> is playing <media> at volume level <volume>.,Điều gì hiện đang chơi trên Placeholder_0?,Placeholder_0 đang chơi Placeholder_1 ở mức độ thể tích Placeholder_2.
media_player,paused;<media>;<volume>,Can you tell me what's paused on <device_name>?,<device_name> has <media> paused at volume level <volume>.,Bạn có thể cho tôi biết những gì tạm dừng trên Placeholder_0?,Placeholder_0 có trình giữ chỗ_1 tạm dừng ở mức thể tích Placeholder_2.
media_player,idle;<volume>,Is there anything playing on <device_name>?,<device_name> is currently idle with the volume set to <volume>.,Có gì chơi trên Placeholder_0 không?,Placeholder_0 hiện đang nhàn rỗi với âm lượng được đặt thành Placeholder_1.
media_player,playing;<media>;<volume>,What song is <device_name> playing?,<device_name> is playing the song <media> at volume <volume>.,Bài hát nào là Placeholder_0 chơi?,Placeholder_0 đang chơi bài hát Placeholder_1 ở tập Placeholder_2.
media_player,paused;<media>;<volume>,What was the last thing played on <device_name>?,"The last media played on <device_name> was <media>, currently paused at volume <volume>.",Điều cuối cùng được chơi trên Placeholder_0 là gì?,"Các phương tiện truyền thông cuối cùng được phát trên Placeholder_0 là Placeholder_1, hiện đang dừng lại ở Volume Placeholder_2."
media_player,idle;<volume>,Is <device_name> active right now?,"<device_name> is currently idle, the volume is set to <volume>.",Placeholder_0 có hoạt động ngay bây giờ không?,"Placeholder_0 hiện đang nhàn rỗi, âm lượng được đặt thành Placeholder_1."
media_player,playing;<media>;<volume>,What's on <device_name> at the moment?,<device_name> is currently playing <media> at volume <volume>.,Có gì trên Placeholder_0 vào lúc này?,Placeholder_0 hiện đang chơi Placeholder_1 ở tập Placeholder_2.
media_player,paused;<media>;<volume>,"I forgot what I paused on <device_name>, can you remind me?","You paused <media> on <device_name>, and the volume is set to <volume>.","Tôi quên những gì tôi dừng lại trên Placeholder_0, bạn có thể nhắc tôi không?",Bạn đã tạm dừng Placeholder_0 trên Placeholder_1 và âm lượng được đặt thành Placeholder_2.
media_player,idle;<volume>,Is <device_name> turned off or on?,"<device_name> is on but idle, with volume at <volume>.",Placeholder_0 có bị tắt hay bật không?,"Placeholder_0 đang bật nhưng nhàn rỗi, với khối lượng ở chỗ đặt chỗ_1."
media_player,playing;<media>;<volume>,I'd like to know what's playing on <device_name>.,"Currently, <media> is playing on <device_name> at volume level <volume>.",Tôi muốn biết những gì đang chơi trên Placeholder_0.,"Hiện tại, Placeholder_0 đang chơi trên Placeholder_1 ở mức độ thể tích Placeholder_2."
vacuum,cleaning,Is the <device_name> vacuum running right now?,The vacuum is running.,Vị trí của Placeholder_0 có chạy ngay bây giờ không?,Máy hút bụi đang chạy.
vacuum,cleaning,Is the <device_name> vacuum on?,It is. Your home is currently being cleaned.,Có phải chỗ trống đặt chỗ trên không?,Nó là. Nhà của bạn hiện đang được làm sạch.
vacuum,cleaning,Is <device_name> cleaning?,"Yes, <device_name> is currently vacuuming.",Là người giữ chỗ_0 làm sạch?,"Có, Placeholder_0 hiện đang hút bụi."
vacuum,cleaning,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently cleaning the house.,Máy hút bụi của Placeholder_0 đang làm gì ngay bây giờ?,Máy hút bụi của Placeholder_0 hiện đang dọn dẹp nhà cửa.
vacuum,cleaning,What is <device_name> doing right now?,<device_name> is currently cleaning.,Placeholder_0 đang làm gì ngay bây giờ?,Placeholder_0 hiện đang làm sạch.
vacuum,docked,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently docked.,Máy hút bụi của Placeholder_0 đang làm gì ngay bây giờ?,Máy hút bụi của Placeholder_0 hiện đang được cập cảng.
vacuum,docked,What is <device_name> doing right now?,<device_name> is currently docked.,Placeholder_0 đang làm gì ngay bây giờ?,Placeholder_0 hiện đang được cập cảng.
vacuum,docked,Is <device_name> on its base right now?,"Yes, <device_name> is at its base.",Placeholder_0 có phải là cơ sở của nó ngay bây giờ không?,"Có, Placeholder_0 đang ở cơ sở của nó."
vacuum,docked,Where is the <device_name> vacuum?,On its dock at the moment.,Nước chân không của Placeholder_0 ở đâu?,Trên bến tàu của nó vào lúc này.
vacuum,paused,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is paused.,Máy hút bụi của Placeholder_0 đang làm gì ngay bây giờ?,Máy hút bụi của người giữ chỗ được tạm dừng.
vacuum,paused,What is <device_name> doing right now?,<device_name> is paused.,Placeholder_0 đang làm gì ngay bây giờ?,Placeholder_0 bị tạm dừng.
vacuum,idle,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stopped.,Máy hút bụi của Placeholder_0 đang làm gì ngay bây giờ?,Máy hút bụi của người giữ chỗ được dừng lại.
vacuum,idle,What is <device_name> doing right now?,<device_name> is stopped.,Placeholder_0 đang làm gì ngay bây giờ?,Placeholder_0 bị dừng lại.
vacuum,error,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stuck or having issues that need to be corrected.,Máy hút bụi của Placeholder_0 đang làm gì ngay bây giờ?,Máy hút bụi của Placeholder_0 bị kẹt hoặc có vấn đề cần được sửa chữa.
vacuum,error,What is <device_name> doing right now?,<device_name> is stuck or having issues.,Placeholder_0 đang làm gì ngay bây giờ?,Placeholder_0 bị mắc kẹt hoặc gặp vấn đề.
todo,1,How many items on on my <device_name> right now?,There is currently 1 item on your <device_name>.,Có bao nhiêu mặt hàng trên trình giữ chỗ của tôi_0 ngay bây giờ?,Hiện tại có 1 mục trên trình giữ chỗ của bạn_0.
todo,2,How many things are on the <device_name> at the moment?,There are 2 things on the <device_name> currently.,Hiện tại có bao nhiêu thứ trên trình giữ chỗ_0?,Hiện tại có 2 điều trên Placeholder_0.
todo,3,What is the current number of items on your <device_name>?,"Yes, there are currently 3 items on your <device_name>.",Số lượng các mặt hàng hiện tại trên Placeholder_0 của bạn là bao nhiêu?,"Có, hiện có 3 mục trên trình giữ chỗ của bạn_0."
todo,4,How many objects are there on the <device_name> presently?,"Yes, there are 4 objects presently on the <device_name>.",Hiện tại có bao nhiêu đối tượng trên Placeholder_0?,"Có, có 4 đối tượng hiện tại trên Placeholder_0."
todo,5,Could you tell me how many pieces there are on the <device_name> at this time?,I can tell you that there are 5 pieces on the <device_name> at this time.,Bạn có thể cho tôi biết có bao nhiêu mảnh trên Placeholder_0 vào lúc này không?,Tôi có thể nói với bạn rằng có 5 mảnh trên Placeholder_0 tại thời điểm này.
todo,6,What's the count of items on the <device_name> now?,The count of items on the <device_name> now is 6.,Số lượng các mặt hàng trên trình giữ chỗ_0 bây giờ là gì?,Số lượng các mục trên Placeholder_0 bây giờ là 6.
todo,7,How many units can be found on my <device_name> at the present moment?,You will find 7 units on my <device_name> at the present moment.,Có bao nhiêu đơn vị có thể được tìm thấy trên trình giữ chỗ của tôi_0 tại thời điểm hiện tại?,Bạn sẽ tìm thấy 7 đơn vị trên Placeholder_0 của tôi tại thời điểm hiện tại.
todo,8,Could you inform me as to how many articles are located on the <device_name> right now?,I'd be happy to inform you that there are 8 articles located on the <device_name> right now.,Bạn có thể thông báo cho tôi về việc có bao nhiêu bài viết trên Placeholder_0 ngay bây giờ không?,Tôi rất vui khi thông báo với bạn rằng có 8 bài viết trên Placeholder_0 ngay bây giờ.
todo,9,Is it possible for you to disclose how many components there are on the <device_name> currently?,It is possible for me to disclose that there are 9 components on the <device_name> currently.,Bạn có thể tiết lộ có bao nhiêu thành phần trên Placeholder_0 hiện tại không?,Tôi có thể tiết lộ rằng có 9 thành phần trên Placeholder_0 hiện tại.
todo,10,May I ask for the quantity of items on the <device_name> at present?,The quantity of items on the <device_name> is currently 10.,Tôi có thể yêu cầu số lượng các mặt hàng trên Placeholder_0 hiện tại không?,Số lượng các mặt hàng trên trình giữ chỗ_0 hiện là 10.
todo,11,Would you be able to tell me how many things there are on the <device_name> now?,"Yes, I can tell you that there are 11 things on the <device_name> now.",Bạn có thể cho tôi biết có bao nhiêu thứ trên Placeholder_0 bây giờ không?,"Vâng, tôi có thể nói với bạn rằng có 11 điều trên Placeholder_0 bây giờ."
todo,12,Can you enlighten me as to the number of items on the <device_name>?,I'd be pleased to enlighten you that there are 12 items on the <device_name>.,Bạn có thể khai sáng cho tôi số lượng vật phẩm trên Placeholder_0 không?,Tôi rất vui khi được khai sáng cho bạn rằng có 12 mục trên Placeholder_0.
timer,active;<duration>;<remaining>,How much time left on the <device_name>?,The <device_name> is set for <duration>. There is currently <remaining> remaining.,Bao nhiêu thời gian còn lại trên trình giữ chỗ_0?,Placeholder_0 được đặt cho loferholder_1. Hiện tại còn lại Placeholder_2.
timer,active;<duration>;<remaining>,How long before the <device_name> goes off?,The <device_name> will go off in <remaining>.,Bao lâu trước khi người giữ chỗ_0 tắt?,Người giữ chỗ_0 sẽ tắt trong Placeholder_1.
timer,active;<duration>;<remaining>,When is the <device_name> set to go off?,The <device_name> is set for <duration> and will go off in <remaining>.,Khi nào thì đặt chỗ_0 được thiết lập?,Placeholder_0 được đặt cho trình giữ chỗ_1 và sẽ tắt trong Placeholder_2.
