device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
light,on;<color>;<brightness>,What hue is <device_name> displaying?,<device_name> is displaying a <color> hue.,Huế nào là <device_name> hiển thị?,<device_name> đang hiển thị một màu <color>.
light,on;<color>;<brightness>,How bright is <device_name> right now?,<device_name> is currently at <brightness>% brightness.,Làm thế nào sáng là __ph0__ ngay bây giờ?,<device_name> hiện đang ở mức độ sáng __PH1 __%.
light,on;<color>;<brightness>,I'd like to know the current color of <device_name>.,The current color of <device_name> is <color>.,Tôi muốn biết màu hiện tại của <device_name>.,Màu hiện tại của <device_name> là <color>.
light,on;<color>;<brightness>,Is <device_name> more on the dim side or the bright side?,<device_name> is more on the <brightness> side.,__Ph0__ có nhiều hơn ở mặt mờ hay mặt sáng không?,<device_name> là nhiều hơn ở phía <brightness>.
light,on;<color>;<brightness>,What color setting is <device_name> on?,<device_name> is set to <color> color setting.,Cài đặt màu nào <device_name> trên?,<device_name> được đặt thành cài đặt màu <color>.
light,on;<color>;<brightness>,Could you check the brightness level of <device_name> for me?,"Sure, the brightness level of <device_name> is <brightness>.",Bạn có thể kiểm tra mức độ sáng của <device_name> cho tôi không?,"Chắc chắn, mức độ sáng của <device_name> là <brightness>."
light,on;<color>;<brightness>,"Tell me, what's the current hue of <device_name>?",The current hue of <device_name> is <color>.,"Nói cho tôi biết, màu sắc hiện tại của <device_name> là gì?",Màu sắc hiện tại của <device_name> là <color>.
light,off,What's the brightness of <device_name>?,The device <device_name> is turned off.,Độ sáng của <device_name> là bao nhiêu?,Thiết bị <device_name> bị tắt.
light,off,Can you tell me the color of <device_name>?,<device_name> is turned off.,Bạn có thể cho tôi biết màu của <device_name>?,<device_name> bị tắt.
light,off,Is <device_name> set to a bright or dim setting?,"No, <device_name> is turned off.",<device_name> được đặt thành cài đặt sáng hay mờ?,"Không, <device_name> bị tắt."
light,off,What hue is <device_name> displaying?,<device_name> is actually turned off.,Huế nào là <device_name> hiển thị?,<device_name> thực sự bị tắt.
light,off,How bright is <device_name> right now?,<device_name> is turned off.,Làm thế nào sáng là __ph0__ ngay bây giờ?,<device_name> bị tắt.
media_player,playing;<media>;<volume>,What's currently playing on <device_name>?,<device_name> is playing <media> at volume level <volume>.,Điều gì hiện đang chơi trên <device_name>?,<device_name> đang chơi <media> ở mức khối lượng <volume>.
media_player,paused;<media>;<volume>,Can you tell me what's paused on <device_name>?,<device_name> has <media> paused at volume level <volume>.,Bạn có thể cho tôi biết những gì tạm dừng trên <device_name>?,<device_name> có <media> tạm dừng ở mức khối lượng <volume>.
media_player,idle;<volume>,Is there anything playing on <device_name>?,<device_name> is currently idle with the volume set to <volume>.,Có bất cứ điều gì chơi trên <device_name>?,<device_name> hiện đang nhàn rỗi với âm lượng được đặt thành <volume>.
media_player,playing;<media>;<volume>,What song is <device_name> playing?,<device_name> is playing the song <media> at volume <volume>.,__Ph0__ chơi bài hát gì?,<device_name> đang chơi bài hát <media> ở tập <volume>.
media_player,paused;<media>;<volume>,What was the last thing played on <device_name>?,"The last media played on <device_name> was <media>, currently paused at volume <volume>.",Điều cuối cùng được chơi trên <device_name> là gì?,"Các phương tiện truyền thông cuối cùng được phát trên <device_name> là <media>, hiện đang dừng lại ở tập <volume>."
media_player,idle;<volume>,Is <device_name> active right now?,"<device_name> is currently idle, the volume is set to <volume>.",__Ph0__ có hoạt động ngay bây giờ không?,"<device_name> hiện đang nhàn rỗi, âm lượng được đặt thành <volume>."
media_player,playing;<media>;<volume>,What's on <device_name> at the moment?,<device_name> is currently playing <media> at volume <volume>.,Có gì trên __ph0__ vào lúc này?,<device_name> hiện đang chơi <media> ở tập <volume>.
media_player,paused;<media>;<volume>,"I forgot what I paused on <device_name>, can you remind me?","You paused <media> on <device_name>, and the volume is set to <volume>.","Tôi quên những gì tôi dừng lại trên <device_name>, bạn có thể nhắc tôi không?",Bạn đã tạm dừng <media> trên <device_name> và âm lượng được đặt thành <volume>.
media_player,idle;<volume>,Is <device_name> turned off or on?,"<device_name> is on but idle, with volume at <volume>.",<device_name> có bị tắt hay bật không?,"<device_name> là trên nhưng nhàn rỗi, với khối lượng ở <volume>."
media_player,playing;<media>;<volume>,I'd like to know what's playing on <device_name>.,"Currently, <media> is playing on <device_name> at volume level <volume>.",Tôi muốn biết những gì đang chơi trên <device_name>.,"Hiện tại, <media> đang chơi trên <device_name> ở mức khối lượng <volume>."
vacuum,cleaning,Is the <device_name> vacuum running right now?,The vacuum is running.,Máy hút bụi <device_name> có chạy ngay bây giờ không?,Máy hút bụi đang chạy.
vacuum,cleaning,Is the <device_name> vacuum on?,It is. Your home is currently being cleaned.,Có phải <device_name> không?,Nó là. Nhà của bạn hiện đang được làm sạch.
vacuum,cleaning,Is <device_name> cleaning?,"Yes, <device_name> is currently vacuuming.",__Ph0__ có làm sạch không?,"Có, <device_name> hiện đang hút bụi."
vacuum,cleaning,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently cleaning the house.,Máy hút bụi <device_name> đang làm gì ngay bây giờ?,Máy hút bụi <device_name> hiện đang dọn dẹp nhà cửa.
vacuum,cleaning,What is <device_name> doing right now?,<device_name> is currently cleaning.,__Ph0__ đang làm gì ngay bây giờ?,<device_name> hiện đang dọn dẹp.
vacuum,docked,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently docked.,Máy hút bụi <device_name> đang làm gì ngay bây giờ?,Máy hút bụi <device_name> hiện đang được neo.
vacuum,docked,What is <device_name> doing right now?,<device_name> is currently docked.,__Ph0__ đang làm gì ngay bây giờ?,<device_name> hiện đang được neo.
vacuum,docked,Is <device_name> on its base right now?,"Yes, <device_name> is at its base.",__Ph0__ có trên cơ sở của nó ngay bây giờ không?,"Vâng, __ph0__ là ở cơ sở của nó."
vacuum,docked,Where is the <device_name> vacuum?,On its dock at the moment.,__Ph0__ chân không ở đâu?,Trên bến tàu của nó vào lúc này.
vacuum,paused,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is paused.,Máy hút bụi <device_name> đang làm gì ngay bây giờ?,Máy hút bụi <device_name> được tạm dừng.
vacuum,paused,What is <device_name> doing right now?,<device_name> is paused.,__Ph0__ đang làm gì ngay bây giờ?,<device_name> bị tạm dừng.
vacuum,idle,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stopped.,Máy hút bụi <device_name> đang làm gì ngay bây giờ?,Máy hút bụi <device_name> được dừng lại.
vacuum,idle,What is <device_name> doing right now?,<device_name> is stopped.,__Ph0__ đang làm gì ngay bây giờ?,<device_name> bị dừng lại.
vacuum,error,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stuck or having issues that need to be corrected.,Máy hút bụi <device_name> đang làm gì ngay bây giờ?,Máy hút bụi <device_name> bị kẹt hoặc có vấn đề cần được sửa chữa.
vacuum,error,What is <device_name> doing right now?,<device_name> is stuck or having issues.,__Ph0__ đang làm gì ngay bây giờ?,<device_name> bị mắc kẹt hoặc gặp vấn đề.
todo,1,How many items on on my <device_name> right now?,There is currently 1 item on your <device_name>.,Có bao nhiêu mục trên <device_name> của tôi ngay bây giờ?,Hiện tại có 1 mục trên <device_name> của bạn.
todo,2,How many things are on the <device_name> at the moment?,There are 2 things on the <device_name> currently.,Hiện tại có bao nhiêu thứ trên <device_name>?,Hiện tại có 2 điều trên <device_name>.
todo,3,What is the current number of items on your <device_name>?,"Yes, there are currently 3 items on your <device_name>.",Số lượng mục hiện tại trên <device_name> của bạn là bao nhiêu?,"Có, hiện có 3 mục trên <device_name> của bạn."
todo,4,How many objects are there on the <device_name> presently?,"Yes, there are 4 objects presently on the <device_name>.",Hiện tại có bao nhiêu đối tượng trên <device_name>?,"Có, có 4 đối tượng hiện tại trên <device_name>."
todo,5,Could you tell me how many pieces there are on the <device_name> at this time?,I can tell you that there are 5 pieces on the <device_name> at this time.,Bạn có thể cho tôi biết có bao nhiêu mảnh trên __ph0__ tại thời điểm này?,Tôi có thể nói với bạn rằng có 5 mảnh trên <device_name> tại thời điểm này.
todo,6,What's the count of items on the <device_name> now?,The count of items on the <device_name> now is 6.,Số lượng các mặt hàng trên <device_name> bây giờ là gì?,Số lượng các mục trên <device_name> bây giờ là 6.
todo,7,How many units can be found on my <device_name> at the present moment?,You will find 7 units on my <device_name> at the present moment.,Có bao nhiêu đơn vị có thể được tìm thấy trên <device_name> của tôi tại thời điểm hiện tại?,Bạn sẽ tìm thấy 7 đơn vị trên <device_name> của tôi tại thời điểm hiện tại.
todo,8,Could you inform me as to how many articles are located on the <device_name> right now?,I'd be happy to inform you that there are 8 articles located on the <device_name> right now.,Bạn có thể thông báo cho tôi về việc có bao nhiêu bài viết trên <device_name> ngay bây giờ không?,Tôi rất vui khi thông báo với bạn rằng có 8 bài viết trên <device_name> ngay bây giờ.
todo,9,Is it possible for you to disclose how many components there are on the <device_name> currently?,It is possible for me to disclose that there are 9 components on the <device_name> currently.,Bạn có thể tiết lộ có bao nhiêu thành phần trên <device_name> hiện tại không?,Tôi có thể tiết lộ rằng có 9 thành phần trên <device_name> hiện tại.
todo,10,May I ask for the quantity of items on the <device_name> at present?,The quantity of items on the <device_name> is currently 10.,Tôi có thể yêu cầu số lượng các mặt hàng trên __ph0__ hiện tại không?,Số lượng các mặt hàng trên <device_name> hiện là 10.
todo,11,Would you be able to tell me how many things there are on the <device_name> now?,"Yes, I can tell you that there are 11 things on the <device_name> now.",Bạn có thể cho tôi biết có bao nhiêu thứ trên __ph0__ bây giờ không?,"Vâng, tôi có thể nói với bạn rằng có 11 điều trên <device_name> bây giờ."
todo,12,Can you enlighten me as to the number of items on the <device_name>?,I'd be pleased to enlighten you that there are 12 items on the <device_name>.,Bạn có thể khai sáng cho tôi số lượng các mặt hàng trên <device_name> không?,Tôi rất vui khi được khai sáng cho bạn rằng có 12 mục trên <device_name>.
timer,active;<duration>;<remaining>,How much time left on the <device_name>?,The <device_name> is set for <duration>. There is currently <remaining> remaining.,Bao nhiêu thời gian còn lại trên __ph0__?,<device_name> được đặt cho <duration>. Hiện tại còn lại <remaining>.
timer,active;<duration>;<remaining>,How long before the <device_name> goes off?,The <device_name> will go off in <remaining>.,Bao lâu trước khi __ph0__ tắt?,<device_name> sẽ tắt trong <remaining>.
timer,active;<duration>;<remaining>,When is the <device_name> set to go off?,The <device_name> is set for <duration> and will go off in <remaining>.,Khi nào <device_name> được thiết lập?,<device_name> được đặt cho <duration> và sẽ tắt trong <remaining>.
