service_name,device_name,english_phrase,english_phrase_vi
light.turn_off,pool_table_light,Turn off the pool table light please,Làm ơn tắt đèn bàn bi -a
light.turn_off,pool_table_light,Turn off the pool table light now,Tắt đèn bàn bi -a ngay bây giờ
light.turn_off,pool_table_light,You can turn off the pool table light now,Bạn có thể tắt đèn bàn bi -a ngay bây giờ
light.turn_off,pool_table_light,Turn off the pool table lights.,Tắt đèn bàn bi -a.
light.turn_off,pool_table_light,Turn off the pool table light please.,Xin vui lòng tắt đèn bàn bi -a.
light.turn_off,pool_table_light,Turn off the pool table light,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Turn off the light in the pool table.,Tắt đèn trong bàn bi -a.
light.turn_off,pool_table_light,Turn off the pool table light,Tắt đèn bàn bi -a
light.turn_off,pool_table_light,Turn off the light in the pool table,Tắt đèn trong bàn bi -a
light.turn_off,pool_table_light,Turn the pool table light off,Tắt đèn bàn bi -a
light.turn_off,porch_light,Please switch off the porch light,Vui lòng tắt đèn hiên
light.turn_off,porch_light,Turn off porch light,Tắt đèn hiên
light.turn_off,porch_light,Turn off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Deactivate porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Shut off porch light,Tắt đèn hiên
light.turn_off,porch_light,Can we power down the porch light?,Chúng ta có thể cung cấp năng lượng cho ánh sáng hiên nhà không?
light.turn_off,porch_light,Can we turn down the porch light?,Chúng ta có thể tắt ánh sáng hiên nhà không?
light.turn_off,porch_light,Can you turn off the lights on the porch?,Bạn có thể tắt đèn trên hiên nhà không?
light.turn_off,porch_light,Can you shut off the porch light?,Bạn có thể tắt đèn hiên không?
light.turn_off,porch_light,Can you turn off the porch light?,Bạn có thể tắt đèn hiên không?
light.turn_off,porch_light,Could we turn off the porch lights?,Chúng ta có thể tắt đèn hiên không?
light.turn_off,porch_light,Could you disable the porch light,Bạn có thể vô hiệu hóa ánh sáng hiên nhà không
light.turn_off,porch_light,Deactivate the porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Deactivate the porch area lighting.,Vô hiệu hóa ánh sáng khu vực hiên nhà.
light.turn_off,porch_light,Deactivate the porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Deactivate the light on the porch,Vô hiệu hóa ánh sáng trên hiên nhà
light.turn_off,porch_light,Deactivate the porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Deactivate the porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Deactivate the porch light,Vô hiệu hóa ánh sáng hiên nhà
light.turn_off,porch_light,Deactivate the lights at the porch.,Vô hiệu hóa đèn ở hiên nhà.
light.turn_off,porch_light,Disable the lights in the porch.,Tắt đèn trong hiên nhà.
light.turn_off,porch_light,porch light off,hiên nhà tắt
light.turn_off,porch_light,Disable the porch lights.,Tắt đèn hiên.
light.turn_off,porch_light,Please disable the porch light.,Vui lòng vô hiệu hóa ánh sáng hiên nhà.
light.turn_off,porch_light,Please extinguish the porch light,Vui lòng dập tắt ánh sáng hiên nhà
light.turn_off,porch_light,Please power down the lights in the porch.,Xin vui lòng cung cấp năng lượng cho đèn trong hiên nhà.
light.turn_off,porch_light,Please switch off the porch light,Vui lòng tắt đèn hiên
light.turn_off,porch_light,Please switch off the porch area lights.,Vui lòng tắt đèn khu vực hiên nhà.
light.turn_off,porch_light,Please turn off the porch lights.,Vui lòng tắt đèn hiên nhà.
light.turn_off,porch_light,Please turn off the porch light.,Vui lòng tắt đèn hiên.
light.turn_off,porch_light,Power off the lights in the porch.,Nguồn tắt đèn trong hiên nhà.
light.turn_off,porch_light,Set the porch lights to off.,Đặt đèn hiên để tắt.
light.turn_off,porch_light,Shut down the porch lights.,Tắt đèn hiên.
light.turn_off,porch_light,Shut down the porch light,Tắt đèn hiên
light.turn_off,porch_light,Switch off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Switch off the porch light please,Làm ơn tắt đèn hiên nhà
light.turn_off,porch_light,Switch off the porch light now,Tắt đèn hiên ngay bây giờ
light.turn_off,porch_light,Switch off the porch lights,Tắt đèn hiên nhà
light.turn_off,porch_light,Switch off the light in the porch,Tắt đèn trong hiên nhà
light.turn_off,porch_light,Switch off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Turn off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Turn off the porch light please,Làm ơn tắt đèn hiên nhà
light.turn_off,porch_light,Turn off the porch light now,Tắt đèn hiên ngay bây giờ
light.turn_off,porch_light,You can turn off the porch light now,Bạn có thể tắt đèn hiên ngay bây giờ
light.turn_off,porch_light,Turn off the porch lights.,Tắt đèn hiên.
light.turn_off,porch_light,Turn off the porch light please.,Vui lòng tắt đèn hiên nhà.
light.turn_off,porch_light,Turn off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Turn off the light in the porch.,Tắt đèn trong hiên nhà.
light.turn_off,porch_light,Turn off the porch light,Tắt đèn hiên
light.turn_off,porch_light,Turn off the light in the porch,Tắt đèn trong hiên nhà
light.turn_off,porch_light,Turn the porch light off,Tắt đèn hiên
light.turn_off,shower_light,Please switch off the shower light,Vui lòng tắt đèn tắm
light.turn_off,shower_light,Turn off shower light,Tắt đèn tắm
light.turn_off,shower_light,Turn off the shower light,Tắt đèn tắm
light.turn_off,shower_light,Deactivate shower light,Vô hiệu hóa ánh sáng tắm
light.turn_off,shower_light,Shut off shower light,Tắt đèn tắm
light.turn_off,stair_light,stair light off,Ánh sáng cầu thang tắt
light.turn_off,stair_light,Disable the stair lights.,Tắt đèn cầu thang.
light.turn_off,stair_light,Shut off stairwell light,Tắt đèn cầu thang
light.turn_off,stair_light,Can we power down the stairwell light?,Chúng ta có thể cung cấp năng lượng cho đèn cầu thang không?
light.turn_off,roof_light,Please switch off the roof light,Vui lòng tắt đèn mái
light.turn_off,roof_light,Turn off roof light,Tắt đèn mái
light.turn_off,roof_light,Turn off the roof light,Tắt đèn mái
light.turn_off,walkway_light,Shut down the walkway lights.,Tắt đèn đi bộ.
light.turn_off,walkway_light,Turn off the walkway light,Tắt đèn đi bộ
light.turn_off,walkway_light,Turn the walkway light off,Tắt đèn đi bộ
light.turn_off,Bobs_lamp,Please switch off Bob's light,Vui lòng tắt đèn của Bob
light.turn_off,janets_lamp,Turn off Janet's light,Tắt đèn của Janet
light.turn_off,ruths_lamp,Please switch off Ruth's lamp,Vui lòng tắt đèn của Ruth
light.turn_off,colins_lamp,Turn off Colin's lamp,Tắt đèn của Colin
light.turn_off,neenas_lamp,Turn off Neena's lamp,Tắt đèn của Neena
light.turn_off,roberts_lamp,Deactivate Robert's lamp,Vô hiệu hóa đèn của Robert
light.turn_off,paulus_lamp,Shut off Paulus' lamp,Tắt đèn Paulus
light.turn_off,angelas_lamp,Can we power down Angela's lamp?,Chúng ta có thể cung cấp năng lượng cho đèn của Angela không?
light.turn_off,entry_lamp,Please switch off entry lamp,Vui lòng tắt đèn nhập cảnh
light.turn_off,entry_lamp,Turn off entry lamp,Tắt đèn vào
light.turn_off,entry_lamp,Please extinguish entryway lamp,Vui lòng dập tắt đèn lối vào
light.turn_off,entry_lamp,Please switch off entryway lamp,Vui lòng tắt đèn lối vào
light.turn_off,entry_lamp,Please switch off entryway area lamps.,Vui lòng tắt đèn khu vực lối vào.
light.turn_off,entry_lamp,Deactivate entrance light,Vô hiệu hóa ánh sáng lối vào
light.turn_on,bar_light,Illuminate the light in my bar.,Chiếu sáng ánh sáng trong thanh của tôi.
light.turn_on,bar_light,Illuminate the bar.,Chiếu sáng thanh.
light.turn_on,bar_light,Bar light on,Thanh đèn bật
light.turn_on,bar_light,Light up the bar.,Thắp sáng thanh.
light.turn_on,dining_room_light,Activate the lights in the dining room,Kích hoạt đèn trong phòng ăn
light.turn_on,dining_room_light,Enable the dining room light please,Vui lòng bật đèn phòng ăn
light.turn_on,dining_room_light,Engage the lights in the dining room.,Tham gia đèn trong phòng ăn.
light.turn_on,front_light,Activate the front light please,Vui lòng kích hoạt đèn trước
light.turn_on,front_light,Please activate the front light,Vui lòng kích hoạt đèn trước
light.turn_on,front_light,Activate the front light now,Kích hoạt đèn trước ngay bây giờ
light.turn_on,gym_light,Turn on the gym light please,Vui lòng bật đèn tập thể dục
light.turn_on,gym_light,Turn the gym light on,Bật đèn tập thể dục
light.turn_on,gym_light,gym light on,phòng tập thể dục trên
light.turn_on,island_light,Turn the island light on,Bật đèn đảo
light.turn_on,island_light,island light on,Đảo đèn sáng
light.turn_on,island_light,Switch on the island light,Bật đèn đảo
light.turn_on,kitchen_light,kitchen light on,Đèn nhà bếp bật
light.turn_on,kitchen_light,Switch on the kitchen light,Bật đèn nhà bếp
light.turn_on,kitchen_light,Hey can you turn on the kitchen light,"Này, bạn có thể bật đèn nhà bếp không"
light.turn_on,living_room_light,Turn on the living room lights.,Bật đèn phòng khách.
light.turn_on,living_room_light,Turn on the living room lights please.,Vui lòng bật đèn phòng khách.
light.turn_on,living_room_light,Please turn on the living room lights.,Vui lòng bật đèn phòng khách.
light.turn_on,living_room_light,Turn on the living room lighting.,Bật đèn chiếu sáng phòng khách.
light.turn_on,main_basement_light,Turn on the main basement light,Bật đèn tầng hầm chính
light.turn_on,main_basement_light,Turn on main basement light,Bật đèn tầng hầm chính
light.turn_on,man_cave_light,Activate the man cave man cave light.,Kích hoạt ánh sáng hang động người đàn ông hang động.
light.turn_on,man_cave_light,Activate the lights in the man cave,Kích hoạt đèn trong hang động người đàn ông
light.turn_on,man_cave_light,Could you light up the man cave?,Bạn có thể thắp sáng hang động người đàn ông?
light.turn_on,man_cave_light,Enable the man cave light,Bật đèn hang động
light.turn_on,master_bedroom_light,Could you illuminate the master bedroom,Bạn có thể chiếu sáng phòng ngủ chính không
light.turn_on,pool_table_bar_light,pool table bar light on,Bàn bi -quầy Bàn bật đèn
light.turn_on,pool_table_bar_light,Switch on the pool table bar light,Bật đèn thanh bàn bi -a
light.turn_on,pool_table_bar_light,Can you turn on the pool table bar light?,Bạn có thể bật đèn thanh bàn bi -a không?
light.turn_on,pool_table_light,Enable the pool table light please,Vui lòng bật đèn bàn bi -a
light.turn_on,porch_light,Turn on porch light,Bật đèn hiên
light.turn_on,porch_light,Can you turn on the porch light?,Bạn có thể bật đèn hiên không?
light.turn_on,porch_light,Could you turn on the porch light please?,Bạn có thể bật đèn hiên không?
light.turn_on,shower_light,Turn on the shower light,Bật đèn tắm
light.turn_on,shower_light,Turn on shower light,Bật đèn tắm
light.turn_on,shower_light,Activate the shower light,Kích hoạt đèn tắm
light.turn_on,shower_light,Could you illuminate the shower please,Bạn có thể chiếu sáng vòi hoa sen được không
light.turn_on,shower_light,Turn on the lights at the shower,Bật đèn khi tắm
light.turn_on,shower_light,Light up the shower please,Làm ơn thắp sáng vòi hoa sen
light.turn_on,shower_light,Turn on the shower light please,Làm ơn bật đèn tắm
light.turn_on,shower_light,Turn the shower light on,Bật đèn tắm
light.turn_on,shower_light,shower light on,Ánh sáng tắm
light.turn_on,stair_light,Activate the stair light please,Vui lòng kích hoạt đèn cầu thang
light.turn_on,stair_light,Please activate the stair light,Vui lòng kích hoạt đèn cầu thang
light.turn_on,stair_light,Can you light up the stairwell please?,Bạn có thể thắp sáng cầu thang được không?
light.turn_on,stair_light,Please activate the stairwell light,Vui lòng kích hoạt đèn cầu thang
light.turn_on,stair_light,Please switch on the stairwell area light,Vui lòng bật đèn cầu thang
light.turn_on,roof_light,Please turn on the roof light.,Vui lòng bật đèn mái.
light.turn_on,roof_light,Switch on the roof light please,Làm ơn bật đèn trên mái nhà
light.turn_on,roof_light,Can you turn on the light in the roof?,Bạn có thể bật đèn trên mái nhà không?
light.turn_on,walkway_light,Please activate the walkway light,Vui lòng kích hoạt đèn đi bộ
light.turn_on,walkway_light,Please switch on the walkway area light,Vui lòng bật đèn khu vực lối đi
light.turn_on,walkway_light,Turn on the walkway lighting.,Bật đèn đi bộ.
light.turn_on,freds_lamp,Turn on Fred's light,Bật đèn của Fred
light.turn_on,colins_lamp,Turn on Colin's light,Bật đèn của Colin
light.turn_on,roberts_lamp,Activate Robert's light,Kích hoạt ánh sáng của Robert
light.turn_on,pierres_lamp,Turn on Pierre's light please,Làm ơn bật đèn của Pierre
light.turn_on,jennifers_lamp,Turn Jenn's light on,Bật đèn của Jenn sáng
light.turn_on,julias_lamp,Julia's light on,Ánh sáng của Julia
light.turn_on,neenas_lamp,Switch on Neena's light,Bật đèn của Neena
light.turn_on,patricks_lamp,Can you turn on Patrick's light?,Bạn có thể bật ánh sáng của Patrick không?
light.turn_on,sams_lamp,Light up Sam's.,Thắp sáng Sam's.
light.turn_on,johns_lamp,Brighten up John's light.,Làm sáng lên ánh sáng của John.
light.turn_on,jordans_lamp,Engage Jordan's lighting.,Tham gia ánh sáng của Jordan.
light.turn_on,lebrons_lamp,Light up Lebron's lights.,Light Up Lebron's Lights.
light.turn_on,angies_lamp,Can you turn on Angie's lamp?,Bạn có thể bật đèn của Angie không?
light.turn_on,louis_lamp,Could you turn on Louis' lamp please?,Bạn có thể bật đèn của Louis được không?
light.turn_on,katniss_lamp,Could you enable Katniss' lamp,Bạn có thể bật đèn Katniss '
light.turn_on,waynes_lamp,Enable Wayne's lamp,Bật đèn của Wayne
light.turn_on,samuels_lamp,Enable Samuel's lamp please,Làm ơn bật đèn của Samuel
light.turn_on,entry_lamp,Turn on entry lamp,Bật đèn vào
light.turn_on,entry_lamp,Please activate entryway lamp,Vui lòng kích hoạt đèn lối vào
light.turn_on,entry_lamp,Please switch on entryway area lamp,Vui lòng bật đèn khu vực lối vào
light.turn_on,entry_lamp,Turn on entrance light,Bật đèn ra vào
light.turn_on,entry_lamp,Turn on entrance lighting.,Bật đèn chiếu sáng.
